dt,who,what
2014-11-10T08:00:00.000Z,Kid1,A bunch of flowers and 4 pears
2014-11-17T08:00:00.000Z,kid2,A bunch of flowers and 12 mandarin oranges
2014-12-01T08:00:00.000Z,Kid3,A bunch of flowers and 6 oranges
2014-12-08T08:00:00.000Z,Kid4,A bunch of flowers and 6 apples
2014-12-15T08:00:00.000Z,Kid5,A bunch of flowers and 6 carrots
2015-01-05T08:00:00.000Z,Kid6,A bunch of flowers and a small jar of jam
2015-01-12T08:00:00.000Z,Kid7,A bunch of flowers and 6 bananas
2015-01-20T08:00:00.000Z,Kid8,A bunch of flowers and 6 zucchinis
2015-01-26T08:00:00.000Z,Kid9,A bunch of flowers and 4 pears
2015-02-02T08:00:00.000Z,Kid10,A bunch of flowers and 12 mandarin oranges
2015-02-18T08:00:00.000Z,Kid11,A bunch of flowers and 6 oranges
2015-02-09T08:00:00.000Z,Kid12,A bunch of flowers and 6 apples
2015-02-17T08:00:00.000Z,Kid13,A bunch of flowers and 3 cucumbers
2015-02-23T08:00:00.000Z,Kid14,A bunch of flowers and a small jar of jam
2015-03-02T08:00:00.000Z,Kid15,A bunch of flowers and 6 carrots
